ARO_id	n_samples	gene_label	broad_class	Resistance Mechanism
ARO:3000194	23	tet(W)	tetracycline	
ARO:3004442	23	tet(W/N/W)	tetracycline	antibiotic target protection
ARO:3000596	21	ErmX	macrolide/MLSB	antibiotic target alteration
ARO:3003109	21	msr(D)	macrolide/MLSB	
ARO:3000616	21	mef(A)	macrolide/MLSB	
ARO:3000375	18	ErmB	macrolide/MLSB	antibiotic target alteration
ARO:3005069	16	rsmA	fluoroquinolone	antibiotic efflux
ARO:3000777	16	adeF	fluoroquinolone	antibiotic efflux
ARO:3004836	15	Neisseria gonorrhoeae 23S rRNA with mutation conferring resistance to azithromycin	macrolide/MLSB	antibiotic target alteration
ARO:3003003	14	CfxA3	beta-lactam	antibiotic inactivation
ARO:3000819	14	nalD	beta-lactam	antibiotic efflux
ARO:3000814	14	MexT	fluoroquinolone	antibiotic efflux
ARO:3004038	14	Pseudomonas aeruginosa emrE	aminoglycoside	antibiotic efflux
ARO:3000813	13	MexS	fluoroquinolone	antibiotic efflux
ARO:3002645	13	APH(3')-IIb	aminoglycoside	antibiotic inactivation
ARO:3003692	13	MexJ	macrolide/MLSB	antibiotic efflux
ARO:3003681	13	TriC	triclosan	antibiotic efflux
ARO:3000807	13	MexH	fluoroquinolone	antibiotic efflux
ARO:3000803	13	MexE	fluoroquinolone	antibiotic efflux
ARO:3000805	13	OprN	fluoroquinolone	antibiotic efflux
ARO:3000818	13	nalC	beta-lactam	antibiotic efflux
ARO:3002679	13	Pseudomonas aeruginosa catB7	phenicol	antibiotic inactivation
ARO:3000806	13	MexG	fluoroquinolone	antibiotic efflux
ARO:3004054	13	Pseudomonas aeruginosa CpxR	beta-lactam	antibiotic efflux
ARO:3002804	13	fosA	fosfomycin	
ARO:3005063	13	cprR	peptide	antibiotic target alteration; antibiotic efflux
ARO:3005040	13	YajC	beta-lactam	antibiotic efflux
ARO:3002985	13	arnA	peptide	antibiotic target alteration
ARO:3004060	13	Type B NfxB	beta-lactam	antibiotic efflux
ARO:3004107	12	Pseudomonas aeruginosa soxR	beta-lactam	antibiotic target alteration; antibiotic efflux
ARO:3005068	12	ParR	beta-lactam	antibiotic efflux; reduced permeability to antibiotic
ARO:3003679	12	TriA	triclosan	antibiotic efflux
ARO:3005067	12	ParS	beta-lactam	antibiotic efflux; reduced permeability to antibiotic
ARO:3000808	12	MexI	fluoroquinolone	antibiotic efflux
ARO:3000809	12	OpmD	fluoroquinolone	antibiotic efflux
ARO:3000149	12	FosA	fosfomycin	antibiotic inactivation
ARO:3003682	12	OpmH	triclosan	antibiotic efflux
ARO:3003693	12	MexK	macrolide/MLSB	antibiotic efflux
ARO:3003030	12	MexV	macrolide/MLSB	antibiotic efflux
ARO:3003700	12	opmE	beta-lactam	antibiotic efflux
ARO:3003704	12	mexM	phenicol	antibiotic efflux
ARO:3000506	12	MexR	beta-lactam	antibiotic target alteration; antibiotic efflux
ARO:3003705	12	mexN	phenicol	antibiotic efflux
ARO:3003583	12	basS	peptide	antibiotic target alteration; antibiotic efflux
ARO:3003710	12	MexL	macrolide/MLSB	antibiotic efflux
ARO:3003801	12	bcr-1	other	antibiotic efflux
ARO:3000379	12	OprM	beta-lactam	antibiotic efflux
ARO:3004032	12	tetA(46)	tetracycline	antibiotic efflux
ARO:3000873	11	TEM-1	beta-lactam	antibiotic inactivation
ARO:3003699	11	mexQ	beta-lactam	antibiotic efflux
ARO:3000804	11	MexF	fluoroquinolone	antibiotic efflux
ARO:3000191	11	tet(Q)	tetracycline	
ARO:3000800	11	MexC	beta-lactam	antibiotic efflux
ARO:3003680	11	TriB	triclosan	antibiotic efflux
