sample_id	ARO_id	drug_rgi	Resistance Mechanism	AMR Gene Family	gene_rgi	in_rgi	gene_amrf	drug_amrf	pct_id_amrf	in_amrf	consensus	detected_by	drug_class	gene_label	is_mac
CO1	ARO:3000024	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	patA	True				False	False	rgi_only	fluoroquinolone antibiotic	patA	False
CO1	ARO:3000025	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	patB	True				False	False	rgi_only	fluoroquinolone antibiotic	patB	False
CO1	ARO:3000149	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	FosA	True				False	False	rgi_only	fosfomycin	FosA	False
CO1	ARO:3000186	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetM	True	tet(M)	TETRACYCLINE	99.69	True	True	both	tetracycline antibiotic	tetM	False
CO1	ARO:3000191					False	tet(Q)	TETRACYCLINE	99.65	True	False	amrf_only	TETRACYCLINE	tet(Q)	False
CO1	ARO:3000194					False	tet(W)	TETRACYCLINE	99.84	True	False	amrf_only	TETRACYCLINE	tet(W)	False
CO1	ARO:3000375	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmB	True	erm(B)	MACROLIDE	99.59	True	True	both	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	ErmB	True
CO1	ARO:3000377	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexA	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	MexA	True
CO1	ARO:3000378	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexB	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	MexB	True
CO1	ARO:3000379	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; acridine dye; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprM	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; acridine dye; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	OprM	True
CO1	ARO:3000498	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmF	True	erm(F)	MACROLIDE	99.62	True	True	both	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	ErmF	True
CO1	ARO:3000506	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexR	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	MexR	True
CO1	ARO:3000596	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmX	True	erm(X)	MACROLIDE	98.94	True	True	both	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	ErmX	True
CO1	ARO:3000616					False	mef(A)	MACROLIDE	100.0	True	False	amrf_only	MACROLIDE	mef(A)	True
CO1	ARO:3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeF	True				False	False	rgi_only	fluoroquinolone antibiotic; tetracycline antibiotic	adeF	False
CO1	ARO:3000800	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexC	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexC	True
CO1	ARO:3000801	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexD	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexD	True
CO1	ARO:3000802	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprJ	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	OprJ	True
CO1	ARO:3000803	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexE	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexE	False
CO1	ARO:3000804	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexF	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexF	False
CO1	ARO:3000805	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprN	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	OprN	False
CO1	ARO:3000806	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexG	True				False	False	rgi_only	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	MexG	False
CO1	ARO:3000807	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexH	True				False	False	rgi_only	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	MexH	False
CO1	ARO:3000808	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexI	True				False	False	rgi_only	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	MexI	False
CO1	ARO:3000809	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OpmD	True				False	False	rgi_only	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes	OpmD	False
CO1	ARO:3000813	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexS	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexS	False
CO1	ARO:3000814	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexT	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	MexT	False
CO1	ARO:3000818	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	nalC	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	nalC	True
CO1	ARO:3000819	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	nalD	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	nalD	True
CO1	ARO:3002645	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	APH(3')-IIb	True	aph(3')-IIb	AMINOGLYCOSIDE	99.63	True	True	both	aminoglycoside antibiotic	APH(3')-IIb	False
CO1	ARO:3002679	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	Pseudomonas aeruginosa catB7	True	catB7	PHENICOL	99.06	True	True	both	phenicol antibiotic	Pseudomonas aeruginosa catB7	False
CO1	ARO:3002702					False	crpP	FLUOROQUINOLONE	96.92	True	False	amrf_only	FLUOROQUINOLONE	crpP	False
CO1	ARO:3002804					False	fosA	FOSFOMYCIN	100.0	True	False	amrf_only	FOSFOMYCIN	fosA	False
CO1	ARO:3002871					False	tet(37)	TETRACYCLINE	90.54	True	False	amrf_only	TETRACYCLINE	tet(37)	False
CO1	ARO:3002985	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	arnA	True				False	False	rgi_only	peptide antibiotic	arnA	False
CO1	ARO:3003003	cephamycin	antibiotic inactivation	CfxA beta-lactamase	CfxA3	True	cfxA3	BETA-LACTAM	100.0	True	True	both	cephamycin	CfxA3	False
CO1	ARO:3003030	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexV	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	MexV	True
CO1	ARO:3003031	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexW	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	MexW	True
CO1	ARO:3003033	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexY	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	mexY	True
