sample_id	contig	status	taxid	organism	is_PA	broad_group	PA_pct	on_plasmid	plasmid_score	n_hallmarks	conjugation_genes	length	mapped_reads	library_size_M	rpkm
CO1	NODE_10_length_176667_cov_83.695553	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				176667	157420	19.614663	45.4280006002592
CO1	NODE_1134_length_10686_cov_10.626752	C	1351	Enterococcus sp.	False	Enterobacteria / other	13.804	False				10686	1233	19.614663	5.882569350521871
CO1	NODE_116_length_59561_cov_47.434662	C	28132	Neisseria elongata	False	Neisseria spp.	13.804	False				59561	30707	19.614663	26.284187545588292
CO1	NODE_1191_length_10141_cov_244.490383	C	2650157	Rothia sp.	False	Rothia / Actinomyces	13.804	True	0.9999	1.0		10141	25898	19.614663	130.19808391793055
CO1	NODE_123_length_56643_cov_70.933891	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	13.804	False				56643	42802	19.614663	38.52449591810089
CO1	NODE_12650_length_1395_cov_3.488806	C	712623	Streptococcus sp.	False	Streptococcus / oral Firmicutes	13.804	False				1395	69	19.614663	2.5217035638796266
CO1	NODE_127_length_55942_cov_86.794979	C	1400868	Other/Unknown	False	Other/Unclassified	13.804	False				55942	51899	19.614663	47.29771391078319
CO1	NODE_15_length_153755_cov_70.743097	C	1352354	Haemophilus sp.	False	Haemophilus spp.	13.804	False				153755	115799	19.614663	38.39677160362945
CO1	NODE_161_length_49692_cov_66.207446	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				49692	35011	19.614663	35.92007113022319
CO1	NODE_168_length_48659_cov_67.556559	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	13.804	False				48659	34915	19.614663	36.58204806723148
CO1	NODE_1795_length_6848_cov_84.999264	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				6848	6093	19.614663	45.361413131375286
CO1	NODE_17_length_145821_cov_94.309969	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	13.804	False				145821	146630	19.614663	51.265112113578915
CO1	NODE_1808_length_6787_cov_55.523619	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	True	0.9789	0.0		6787	3404	19.614663	25.570007258906134
CO1	NODE_196_length_43397_cov_106.822966	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				43397	49406	19.614663	58.04156780905726
CO1	NODE_1981_length_6238_cov_41.567524	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				6238	1967	19.614663	16.07600522199367
CO1	NODE_19_length_144467_cov_68.490077	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	13.804	True	0.9995	9.0	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1;G_tfc7;G_tfc8;G_tfc9	144467	105607	19.614663	37.26861044717166
CO1	NODE_1_length_322986_cov_77.143860	C	941193	Prevotella sp.	False	Oral anaerobes	13.804	False				322986	264675	19.614663	41.77806996183919
CO1	NODE_22138_length_931_cov_2.121005	C	2610896	Prevotella sp.	False	Oral anaerobes	13.804	False				931	24	19.614663	1.3142582437256167
CO1	NODE_2397_length_5206_cov_3.569404	C	28129	Gemella sp.	False	Streptococcus / oral Firmicutes	13.804	False				5206	195	19.614663	1.909631617822121
CO1	NODE_2920_length_4360_cov_19.455981	C	1301	Streptococcus sp.	False	Streptococcus / oral Firmicutes	13.804	False				4360	888	19.614663	10.383544431563378
CO1	NODE_29_length_124308_cov_66.729962	C	1215088	Other/Unknown	False	Other/Unclassified	13.804	False				124308	87988	19.614663	36.08639645707082
CO1	NODE_2_length_301774_cov_77.863926	C	1352354	Haemophilus sp.	False	Haemophilus spp.	13.804	False				301774	245177	19.614663	41.42066397036129
CO1	NODE_308_length_31529_cov_100.709919	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				31529	33704	19.614663	54.499234061125925
CO1	NODE_32066_length_708_cov_82.091884	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				708	524	19.614663	37.73263880956214
CO1	NODE_329_length_30263_cov_83.265327	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	13.804	False				30263	26659	19.614663	44.9108242651051
CO1	NODE_3445_length_3784_cov_4.730759	C	365659	Streptococcus sanguinis	False	Streptococcus / oral Firmicutes	13.804	False				3784	239	19.614663	3.220074519392434
CO1	NODE_363_length_28034_cov_77.955395	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				28034	23399	19.614663	42.55311700143152
CO1	NODE_3786_length_3492_cov_3.389875	C	717959	Other/Unknown	False	Other/Unclassified	13.804	False				3492	135	19.614663	1.9709639576490805
